key,value,rounding,source_file,filter
cond.Chla.lgbm_cqr_gsub.share_zero,0.0023752969121140144,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.Chla.lgbm_cvplus.class_blue.cov,0.8532388663967612,3 decimals,results/cvplus_v3/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the blue-peaked display class; EXPLORATORY"
cond.Chla.lgbm_cvplus.class_blue.n_rows,1976.0,integer,results/cvplus_v3/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the blue-peaked display class; EXPLORATORY"
cond.Chla.lgbm_cvplus.class_green.cov,0.9262866762866763,3 decimals,results/cvplus_v3/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the green-peaked display class; EXPLORATORY"
cond.Chla.lgbm_cvplus.class_green.n_rows,16632.0,integer,results/cvplus_v3/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the green-peaked display class; EXPLORATORY"
cond.Chla.lgbm_cvplus.class_red.cov,0.8565145684442002,3 decimals,results/cvplus_v3/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the red-peaked display class; EXPLORATORY"
cond.Chla.lgbm_cvplus.class_red.n_rows,1819.0,integer,results/cvplus_v3/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the red-peaked display class; EXPLORATORY"
cond.Chla.lgbm_cvplus.n_body_splits,421.0,integer,results/cvplus_v3/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.Chla.lgbm_cvplus.median_body_cov,1.0,3 decimals,results/cvplus_v3/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.Chla.lgbm_cvplus.share_below_090,0.2921615201900237,3 decimals,results/cvplus_v3/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.Chla.lgbm_cvplus.share_below_080,0.13064133016627077,3 decimals,results/cvplus_v3/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.Chla.lgbm_cvplus.share_below_050,0.023752969121140142,3 decimals,results/cvplus_v3/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.Chla.lgbm_cvplus.share_zero,0.0,3 decimals,results/cvplus_v3/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.TSS.mdn_native.class_blue.cov,0.6756302521008404,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the blue-peaked display class; EXPLORATORY"
cond.TSS.mdn_native.class_blue.n_rows,595.0,integer,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the blue-peaked display class; EXPLORATORY"
cond.TSS.mdn_native.class_green.cov,0.6837800687285224,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the green-peaked display class; EXPLORATORY"
cond.TSS.mdn_native.class_green.n_rows,14550.0,integer,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the green-peaked display class; EXPLORATORY"
cond.TSS.mdn_native.class_red.cov,0.6453628063431043,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the red-peaked display class; EXPLORATORY"
cond.TSS.mdn_native.class_red.n_rows,2081.0,integer,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the red-peaked display class; EXPLORATORY"
cond.TSS.mdn_native.n_body_splits,500.0,integer,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.TSS.mdn_native.median_body_cov,0.725,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.TSS.mdn_native.share_below_090,0.776,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.TSS.mdn_native.share_below_080,0.604,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.TSS.mdn_native.share_below_050,0.258,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.TSS.mdn_native.share_zero,0.054,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.TSS.lgbm_gauss.class_blue.cov,0.7159663865546219,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the blue-peaked display class; EXPLORATORY"
cond.TSS.lgbm_gauss.class_blue.n_rows,595.0,integer,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the blue-peaked display class; EXPLORATORY"
cond.TSS.lgbm_gauss.class_green.cov,0.9100343642611683,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the green-peaked display class; EXPLORATORY"
cond.TSS.lgbm_gauss.class_green.n_rows,14550.0,integer,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the green-peaked display class; EXPLORATORY"
cond.TSS.lgbm_gauss.class_red.cov,0.8125901009130226,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the red-peaked display class; EXPLORATORY"
cond.TSS.lgbm_gauss.class_red.n_rows,2081.0,integer,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the red-peaked display class; EXPLORATORY"
cond.TSS.lgbm_gauss.n_body_splits,500.0,integer,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.TSS.lgbm_gauss.median_body_cov,1.0,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.TSS.lgbm_gauss.share_below_090,0.32,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.TSS.lgbm_gauss.share_below_080,0.186,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.TSS.lgbm_gauss.share_below_050,0.07,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.TSS.lgbm_gauss.share_zero,0.016,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.TSS.lgbm_scp_pool.class_blue.cov,0.7109243697478992,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the blue-peaked display class; EXPLORATORY"
cond.TSS.lgbm_scp_pool.class_blue.n_rows,595.0,integer,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the blue-peaked display class; EXPLORATORY"
cond.TSS.lgbm_scp_pool.class_green.cov,0.9021305841924399,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the green-peaked display class; EXPLORATORY"
cond.TSS.lgbm_scp_pool.class_green.n_rows,14550.0,integer,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the green-peaked display class; EXPLORATORY"
cond.TSS.lgbm_scp_pool.class_red.cov,0.8044209514656415,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the red-peaked display class; EXPLORATORY"
cond.TSS.lgbm_scp_pool.class_red.n_rows,2081.0,integer,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the red-peaked display class; EXPLORATORY"
cond.TSS.lgbm_scp_pool.n_body_splits,500.0,integer,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.TSS.lgbm_scp_pool.median_body_cov,1.0,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.TSS.lgbm_scp_pool.share_below_090,0.328,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.TSS.lgbm_scp_pool.share_below_080,0.2,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.TSS.lgbm_scp_pool.share_below_050,0.096,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.TSS.lgbm_scp_pool.share_zero,0.012,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.TSS.lgbm_scp_gsub.class_blue.cov,0.7478991596638656,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the blue-peaked display class; EXPLORATORY"
cond.TSS.lgbm_scp_gsub.class_blue.n_rows,595.0,integer,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the blue-peaked display class; EXPLORATORY"
cond.TSS.lgbm_scp_gsub.class_green.cov,0.9191752577319587,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the green-peaked display class; EXPLORATORY"
cond.TSS.lgbm_scp_gsub.class_green.n_rows,14550.0,integer,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the green-peaked display class; EXPLORATORY"
cond.TSS.lgbm_scp_gsub.class_red.cov,0.8274867851994233,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the red-peaked display class; EXPLORATORY"
cond.TSS.lgbm_scp_gsub.class_red.n_rows,2081.0,integer,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the red-peaked display class; EXPLORATORY"
cond.TSS.lgbm_scp_gsub.n_body_splits,500.0,integer,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.TSS.lgbm_scp_gsub.median_body_cov,1.0,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.TSS.lgbm_scp_gsub.share_below_090,0.29,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.TSS.lgbm_scp_gsub.share_below_080,0.172,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.TSS.lgbm_scp_gsub.share_below_050,0.068,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.TSS.lgbm_scp_gsub.share_zero,0.012,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.TSS.lgbm_cqr_gsub.class_blue.cov,0.8621848739495799,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the blue-peaked display class; EXPLORATORY"
cond.TSS.lgbm_cqr_gsub.class_blue.n_rows,595.0,integer,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the blue-peaked display class; EXPLORATORY"
cond.TSS.lgbm_cqr_gsub.class_green.cov,0.9159450171821306,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the green-peaked display class; EXPLORATORY"
cond.TSS.lgbm_cqr_gsub.class_green.n_rows,14550.0,integer,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the green-peaked display class; EXPLORATORY"
cond.TSS.lgbm_cqr_gsub.class_red.cov,0.8592023065833734,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the red-peaked display class; EXPLORATORY"
cond.TSS.lgbm_cqr_gsub.class_red.n_rows,2081.0,integer,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the red-peaked display class; EXPLORATORY"
